sample	 AHL	 IPTG	 fluo	 gate	 mean	 sd
G	 0.1	 0.25	 RED	 1	 334	 NA
G	 0.1	 0.25	 RED	 2	 506	 NA
G	 0.1	 0.5	 GREEN	 1	 365	 NA
G	 0.1	 0.5	 GREEN	 2	 315	 NA
G	 0.1	 0.5	 RED	 1	 401	 NA
G	 0.1	 0.5	 RED	 2	 544	 NA
G	 0.1	 1	 GREEN	 1	 383	 NA
G	 0.1	 1	 GREEN	 2	 323	 NA
G	 0.1	 1	 RED	 1	 410	 NA
G	 0.1	 1	 RED	 2	 560	 NA
G	 10	 0	 GREEN	 1	 NA	 NA
G	 10	 0	 GREEN	 2	 NA	 NA
G	 10	 0	 RED	 1	 NA	 NA
G	 10	 0	 RED	 2	 NA	 NA
G	 10	 0.0625	 GREEN	 1	 867	 NA
G	 10	 0.0625	 GREEN	 2	 271	 NA
G	 10	 0.0625	 RED	 1	 316	 NA
G	 10	 0.0625	 RED	 2	 540	 NA
G	 10	 0.125	 GREEN	 1	 785	 93.3380951166243
G	 10	 0.125	 GREEN	 2	 273.5	 9.19238815542512
G	 10	 0.125	 RED	 1	 338	 9.89949493661167
G	 10	 0.125	 RED	 2	 466	 22.6274169979695
G	 10	 0.25	 GREEN	 1	 NA	 NA
G	 10	 0.25	 GREEN	 2	 281	 9.89949493661167
G	 10	 0.25	 RED	 1	 NA	 NA
G	 10	 0.25	 RED	 2	 710	 9.89949493661167
G	 10	 0.5	 GREEN	 1	 NA	 NA
G	 10	 0.5	 GREEN	 2	 291.5	 24.7487373415292
G	 10	 0.5	 RED	 1	 NA	 NA
G	 10	 0.5	 RED	 2	 748.5	 30.4055915910215
G	 10	 1	 GREEN	 1	 NA	 NA
G	 10	 1	 GREEN	 2	 289.5	 16.2634559672906
G	 10	 1	 RED	 1	 NA	 NA
G	 10	 1	 RED	 2	 750.5	 19.0918830920368
R	 0	 0	 GREEN	 1	 509	 15.556349186104
R	 0	 0	 GREEN	 2	 NA	 NA
R	 0	 0	 RED	 1	 293.5	 7.77817459305202
R	 0	 0	 RED	 2	 NA	 NA
R	 0	 0.0625	 GREEN	 1	 520.5	 4.94974746830583
R	 0	 0.0625	 GREEN	 2	 NA	 NA
R	 0	 0.0625	 RED	 1	 389	 0
R	 0	 0.0625	 RED	 2	 NA	 NA
R	 0	 0.125	 GREEN	 1	 517.5	 2.12132034355964
R	 0	 0.125	 GREEN	 2	 NA	 NA
R	 0	 0.125	 RED	 1	 408	 1.4142135623731
R	 0	 0.125	 RED	 2	 NA	 NA
R	 0	 0.25	 GREEN	 1	 513.5	 6.36396103067893
R	 0	 0.25	 GREEN	 2	 NA	 NA
R	 0	 0.25	 RED	 1	 424.5	 4.94974746830583
R	 0	 0.25	 RED	 2	 NA	 NA
R	 0	 0.5	 GREEN	 1	 517	 15.556349186104
R	 0	 0.5	 GREEN	 2	 NA	 NA
R	 0	 0.5	 RED	 1	 436.5	 6.36396103067893
R	 0	 0.5	 RED	 2	 NA	 NA
