sample	 AHL	 IPTG	 gate	 mean	 sd
R	 0.0125	 0	 GREEN	 0.946259399978024	 0.0116648571349686
R	 0.0125	 0	 RED	 0.000300120014845726	 0.000113628815664924
R	 0.0125	 0.0625	 GREEN	 0.954641402349056	 0.00378407288098312
R	 0.0125	 0.0625	 RED	 0.00388735022466474	 0.00164434349016581
R	 0.0125	 0.125	 GREEN	 0.234983615689835	 0.0510615084589442
R	 0.0125	 0.125	 RED	 0.621074234323832	 0.0389911821352318
R	 0.0125	 0.25	 GREEN	 0.207532436752156	 0.0715257256028548
R	 0.0125	 0.25	 RED	 0.74638144856129	 0.077223356936935
R	 0.0125	 0.5	 GREEN	 0.10139733924844	 0.00464691622319886
R	 0.0125	 0.5	 RED	 0.880932544768741	 0.00411758761213905
R	 0.0125	 1	 GREEN	 0.0891704221590086	 0.0132466970111938
R	 0.0125	 1	 RED	 0.900494816656129	 0.0192394358617227
R	 0.025	 0	 GREEN	 0.989459081081774	 0.00306132483681964
R	 0.025	 0	 RED	 0.00258816459832568	 0.000903069291868291
R	 0.025	 0.0625	 GREEN	 0.539778065761685	 0.12250951296077
R	 0.025	 0.0625	 RED	 0.313857937328591	 0.100911506297336
R	 0.025	 0.125	 GREEN	 0.0965630932758917	 0.0137847081729085
R	 0.025	 0.125	 RED	 0.891274062364738	 0.0136068892158725
R	 0.025	 0.25	 GREEN	 0.0719856916086312	 0.0303947654997389
R	 0.025	 0.25	 RED	 0.919601987940619	 0.0349320666168844
R	 0.025	 0.5	 GREEN	 0.0187115877585674	 0.00249517097893161
R	 0.025	 0.5	 RED	 0.979924836667318	 0.00248724387282943
R	 0.025	 1	 GREEN	 0.0106514493328032	 0.00247147935542118
R	 0.025	 1	 RED	 0.988128000167385	 0.00303153752077367
R	 0.05	 0	 GREEN	 0.974622060367981	 0.005443757772477
R	 0.05	 0	 RED	 0.00822802251737704	 0.00490398993469447
R	 0.05	 0.0625	 GREEN	 0.0575479759377097	 0.0222590241931332
R	 0.05	 0.0625	 RED	 0.931970258411324	 0.0266198514547353
R	 0.05	 0.125	 GREEN	 0.0158727696555562	 0.00725895633883278
R	 0.05	 0.125	 RED	 0.982243026612693	 0.00762986381621314
R	 0.05	 0.25	 GREEN	 0.00707607845379695	 0.00283221806142078
R	 0.05	 0.25	 RED	 0.990386899528875	 0.00454841567371105
R	 0.05	 0.5	 GREEN	 0.000631713732007499	 1.22878953287114e-06
R	 0.05	 0.5	 RED	 0.998789658748215	 0.000301578231083131
R	 0.05	 1	 GREEN	 0.000681683279054653	 0.000301971755891881
R	 0.05	 1	 RED	 0.998636633441891	 0.000603943511783774
R	 0.1	 0	 GREEN	 0.860653422944007	 0.0195956600788748
R	 0.1	 0	 RED	 0.0524220777844074	 0.0101136888242528
R	 0.1	 0.0625	 GREEN	 0.00881300607846495	 0.00475920977898655
R	 0.1	 0.0625	 RED	 0.9897861732183	 0.00517292195817227
R	 0.1	 0.125	 GREEN	 0.00318683350188871	 0.00246410816623164
R	 0.1	 0.125	 RED	 0.995609552591749	 0.00288133763660947
R	 0.1	 0.25	 GREEN	 0.00273275552572903	 0.00157189712322284
R	 0.1	 0.25	 RED	 0.996741584439271	 0.00181342693627321
R	 0.1	 0.5	 GREEN	 0.000105147780390718	 9.44658889534686e-07
R	 0.1	 0.5	 RED	 0.999524789741751	 0.000307786461569297
R	 0.1	 1	 GREEN	 0.00068421907404578	 0.000299957548119398
R	 0.1	 1	 RED	 0.999210281013747	 0.00029925070728189
R	 10	 0	 GREEN	 0.077829040546564	 0.0207129414335159
R	 10	 0	 RED	 0.909544079458562	 0.022102968747344
R	 10	 0.0625	 GREEN	 0	 0
R	 10	 0.0625	 RED	 0.999896093100582	 0.000119981352699443
R	 10	 0.125	 GREEN	 0.000102627257799672	 0.000118503749833667
R	 10	 0.125	 RED	 0.999378475111867	 0.000111851125892305
R	 10	 0.25	 GREEN	 0.000156250981697922	 5.97142762160308e-05
R	 10	 0.25	 RED	 0.999530692684315	 6.1634672277196e-05
R	 10	 0.5	 GREEN	 0.000153563585445408	 5.86944628661816e-05
R	 10	 0.5	 RED	 0.999590140139567	 1.23656619069265e-06
R	 10	 1	 GREEN	 0.000208855472013367	 0.000241165525977287
R	 10	 1	 RED	 0.999585224860589	 0.000244555501147039
