sample	 AHL	 IPTG	 rep	 m_GREEN	 sd_GREEN	 m_RED	 sd_mCherry
N	 0.025	 0.25	 1	 584.612151394422	 239.795784991322	 512.988645418327	 107.352058476617
N	 0.025	 0.5	 1	 418.092523547881	 110.104337520551	 644.37293956044	 107.424698683436
N	 0.025	 1	 1	 431.928136059772	 113.139792167781	 667.253440817932	 113.079265674097
N	 0.05	 0	 1	 NA	 314.770426989978	 NA	 41.942880004312
N	 0.05	 0.0625	 1	 721.798067860509	 259.758108149162	 370.92931196984	 69.1491771581936
N	 0.05	 0.125	 1	 723.950079113924	 259.619298886759	 381.448101265823	 73.4032569599129
N	 0.05	 0.25	 1	 423.327781543527	 182.449098619344	 612.421903747458	 126.568245234194
N	 0.05	 0.5	 1	 402.680905511811	 115.518869723939	 684.966732283465	 130.216414757365
N	 0.05	 1	 1	 411.890649762282	 114.89672054506	 705.358359746434	 125.139836772085
N	 0.1	 0	 1	 NA	 260.481576849721	 NA	 49.8190544533972
N	 0.1	 0.0625	 1	 664.813838875016	 311.92045790222	 348.027073202786	 68.9884758107672
N	 0.1	 0.125	 1	 654.324961656442	 318.687371469791	 348.324961656442	 71.4458046930883
N	 0.1	 0.25	 1	 368.692740137637	 121.520183112386	 668.403605699331	 127.161250603657
N	 0.1	 0.5	 1	 360.909290766584	 92.3714301741159	 707.256069585165	 151.833015516582
N	 0.1	 1	 1	 375.528508124077	 99.1248749847503	 720.846774987691	 140.238072985273
N	 10	 0	 1	 NA	 221.94520997145	 NA	 43.399373845021
N	 10	 0.0625	 1	 NA	 83.2350968801147	 NA	 40.8808723410021
N	 10	 0.125	 1	 NA	 70.3063078269574	 NA	 123.334061111217
N	 10	 0.25	 1	 303.630338297662	 58.3576689809935	 702.631521846336	 104.445179677491
N	 10	 0.5	 1	 301.308440913605	 51.0041836877333	 722.589870903674	 111.201461491842
N	 10	 1	 1	 302.939944411356	 52.987873603018	 720.041492952154	 126.331247526701
R	 0	 0	 1	 534.149523431295	 89.8274744059321	 295.043685464655	 42.20574923436
R	 0	 0.0625	 1	 543.957953603977	 99.512689873183	 394.528686826843	 55.6410837167782
