sample	 AHL	 IPTG	 fluo	 mean	 sd
R	 0.025	 0.5	 RED	 346.5	 38.6824680357049
R	 0.025	 1	 GREEN	 95	 0
R	 0.025	 1	 RED	 351	 50.8068236886871
R	 0.05	 0	 GREEN	 645.5	 12.1243556529821
R	 0.05	 0	 RED	 56.5	 5.19615242270663
R	 0.05	 0.0625	 GREEN	 101	 6.92820323027551
R	 0.05	 0.0625	 RED	 294.5	 25.9807621135332
R	 0.05	 0.125	 GREEN	 95	 0
R	 0.05	 0.125	 RED	 342	 8.08290376865476
R	 0.05	 0.25	 GREEN	 114.5	 22.5166604983954
R	 0.05	 0.25	 RED	 388.5	 4.04145188432738
R	 0.05	 0.5	 GREEN	 101	 6.92820323027551
R	 0.05	 0.5	 RED	 420.5	 10.9696551146029
R	 0.05	 1	 GREEN	 95	 0
R	 0.05	 1	 RED	 473.5	 61.77647880329
R	 0.1	 0	 GREEN	 701	 81.9837382249269
R	 0.1	 0	 RED	 58.5	 1.73205080756888
R	 0.1	 0.0625	 GREEN	 74	 30.0222139978605
R	 0.1	 0.0625	 RED	 363	 33.4863156129983
R	 0.1	 0.125	 GREEN	 42.5	 21.3619599600162
R	 0.1	 0.125	 RED	 453	 16.1658075373095
R	 0.1	 0.25	 GREEN	 21	 3.46410161513775
R	 0.1	 0.25	 RED	 451	 19.6299091524473
R	 0.1	 0.5	 GREEN	 59	 47.3427220735493
R	 0.1	 0.5	 RED	 494	 64.6632301492381
R	 0.1	 1	 GREEN	 56	 45.0333209967908
R	 0.1	 1	 RED	 484.5	 98.726896031426
R	 10	 0	 GREEN	 457	 363.730669589464
R	 10	 0	 RED	 582	 4.61880215351701
R	 10	 0.0625	 GREEN	 100	 0
R	 10	 0.0625	 RED	 580.5	 4.04145188432738
R	 10	 0.125	 GREEN	 13.5	 4.04145188432738
R	 10	 0.125	 RED	 548.5	 15.5884572681199
R	 10	 0.25	 GREEN	 14.5	 10.9696551146029
R	 10	 0.25	 RED	 541.5	 19.0525588832576
R	 10	 0.5	 GREEN	 4	 1.15470053837925
R	 10	 0.5	 RED	 507.5	 0.577350269189626
R	 10	 1	 GREEN	 21	 3.46410161513775
R	 10	 1	 RED	 518	 15.0111069989303
